,MF,RDKit,SPOC,Mordred
RF,-0.06195095898905656,0.4491404293152086,0.4665237602535559,0.34935185266631785
ET,-0.10011965733168848,0.40565161954832174,0.363179585253665,0.2405177618845582
MLP,-0.11047496114476618,0.15657964973416794,0.0019207021380704958,-0.019426586178037164
Ada,-0.3371110341743362,0.1501263312457254,0.43535170268420775,0.24415124379187647
BG,-0.08591541011268689,0.3417716908005164,0.4393605934963216,0.3856264167627974
DT,-1.7383326293386605,-1.156436537944701,-0.9887111881912898,-0.079268727345146
GB,-0.12111236691898153,0.5032264828204631,0.6116652186153568,0.30756756201856317
XGB,-0.06855470583380008,0.2122718890330676,0.426819211893103,0.1929171682467523
LGBM,-0.1110450093593971,0.28053382790007797,0.26334847859920063,0.26207795138552126
