,ACSF,MBTR,Mordred,MF,RDKit,SOAP,SPOC,TS
Ada,0.3513037086704548,0.3274159208181435,0.137468811579341,0.45743234771007657,0.4008575557606233,0.19962053953035408,0.40536318657505377,0.43535170268420775
BG,0.42377884863720905,0.3547184205330236,0.43152326827441223,0.5771319441271707,0.3667244489106303,0.37745184483005156,0.34664514996220386,0.4393605934963216
DT,-0.7959056511907627,-1.3676906212750795,-0.26639136808194386,-0.8248505978849563,-0.6615078996473271,-0.7047599083816485,-0.23640038022682952,-0.9887111881912898
ET,0.46940990086240997,0.41678003391816354,0.4292390313857458,0.46655839013275513,0.4842297442818333,0.4934642578327404,0.4337035578296351,0.363179585253665
GB,0.46819593548925365,0.13855045297108004,0.44843461086072567,0.4277639561959776,0.5347069264754791,0.3449012788675385,0.5163530295001654,0.6116652186153568
LGBM,0.2509787342818839,0.010181916779230415,0.16018212970626022,0.41110976580304925,0.1769593049666388,0.18394641939506484,0.24913803858958716,0.26334847859920063
MLP,0.1260342230890017,0.07511416242730606,-0.25402031419803084,0.2154901037924516,-0.0584350906823663,0.05373613534464772,0.04379288085123845,0.0019207021380704958
RF,0.41234520206286385,0.3528703009615125,0.4111166977029995,0.5414075613121134,0.3995756759305248,0.39143790744258544,0.44658024226085047,0.4665237602535559
XGB,0.2695775320291789,0.23468174371735973,0.4440610610021576,0.4268595374829961,0.36543707170381734,0.4501967238777702,0.4607225265752477,0.426819211893103
