,ACSF,MBTR,Mordred,MF,RDKit,SOAP,SPOC,TS
Ada,0.24662582302775826,0.2744647678141867,0.3132569064015628,0.25316499567472034,0.257574765851942,0.30730370960509085,0.26190872244501756,0.2584111248094015
BG,0.27085380969253775,0.29218498051246544,0.2690154189395591,0.23436296345626428,0.2885039135583617,0.28430270234751925,0.2739267164442107,0.2698188752301328
DT,0.46899205221553536,0.46774855964642637,0.38206130073157796,0.4317510256162488,0.43298527499787104,0.3860792241871125,0.37075414860309847,0.42089259919229005
ET,0.238169843280867,0.25251926485032844,0.2443245508177277,0.23524211433452588,0.23969778646552595,0.24504686728804903,0.2465232250341663,0.261494486638044
GB,0.26624101539017997,0.30097144030835843,0.2511632194144407,0.28029846258279684,0.23119042856850033,0.28331470934186664,0.2216308540077882,0.21370511231510728
LGBM,0.33286780526962306,0.38593923643167977,0.3572105314474885,0.289754253866517,0.34172434651475536,0.3415358559419618,0.3256182063958674,0.34284537039135177
MLP,0.33879159799118996,0.35030098975487844,0.42934372185330866,0.3153213676704193,0.3610674770159633,0.3725623592971625,0.37037008725819004,0.38501063714514117
RF,0.2637763474787543,0.2844752855778833,0.2716847808306831,0.23630637489093562,0.27381820192670464,0.293736679389556,0.25236219042556896,0.2718409038185918
XGB,0.29025390978626125,0.31394296286689943,0.23093494497059924,0.2792420402981756,0.27592021893676266,0.2633678718451654,0.2503790005488497,0.2742526583145827
