Unnamed: 0,Reactant1,Reactant2,Solvents,Solvent1,Solvent2,Reagents,Reagent1,Reagent2,Reagent3,Reagent4,Reagent5,ddG,ee,index,temperature
372,CCCCOP(=O)(OCCCC)C(C)(C)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,NC(CO)(CO)CO,NC(CO)(CO)CO,,CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O.CCCCOP(=O)(OCCCC)C(C)(C)O.CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28.O=C([O-])[O-].[Ag+].[Na+].[Na+].[Pd+2],O=C([O-])[O-].[Na+].[Na+],,CC(=O)[O-].[Ag+],CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,1.809201131338476,0.82,618,120
373,CCCCOP(=O)(OCCCC)C(C)(C)O,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,NC(CO)(CO)CO,NC(CO)(CO)CO,,CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O.CCCCOP(=O)(OCCCC)C(C)(C)O.CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28.O=C([O-])[O-].O=C1C=CC(=O)C=C1.[Ag+].[Na+].[Na+].[Pd+2],O=C([O-])[O-].[Na+].[Na+],O=C1C=CC(=O)C=C1,CC(=O)[O-].[Ag+],CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,1.486499316725064,0.74,619,120
374,OB(O)c1ccccc1,CC(N(C)C)C12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(=O)N(C)C,CC(=O)N(C)C,,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O.CC(=O)[O-].CC(=O)[O-].CC(N(C)C)C12C3C4C5C1[Fe]45321678C2C1C6C7C28.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].OB(O)c1ccccc1.[Br-].[K+].[K+].[Pd+2],O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,1.164762052877894,0.68,626,80
375,OB(O)c1ccccc1,CC(N(C)C)C12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(=O)N(C)C,CC(=O)N(C)C,,CC(=O)[O-].CC(=O)[O-].CC(N(C)C)C12C3C4C5C1[Fe]45321678C2C1C6C7C28.CCCC[N+](CCCC)(CCCC)CCCC.O=C(N[C@@H](Cc1ccccc1)C(=O)O)Oc1ccccc1.O=C([O-])[O-].OB(O)c1ccccc1.[Br-].[K+].[K+].[Pd+2],O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],,CC(=O)[O-].CC(=O)[O-].[Pd+2],O=C(N[C@@H](Cc1ccccc1)C(=O)O)Oc1ccccc1,1.8727466842985665,0.87,627,80
376,c1ccc2occc2c1,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(=O)N(C)C,CC(=O)N(C)C,,CC(=O)[O-].CC(=O)[O-].CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O.CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28.O=C([O-])[O-].[K+].[K+].[Pd+2].c1ccc2occc2c1,O=C([O-])[O-].[K+].[K+],,,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,3.612806037254401,0.99,650,70
377,c1ccc2occc2c1,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(=O)N(C)C,CC(=O)N(C)C,,CC(=O)[O-].CC(=O)[O-].CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O.CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28.O=C([O-])[O-].[K+].[K+].[Pd+2].c1ccc2occc2c1,O=C([O-])[O-].[K+].[K+],,,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,3.136278239433878,0.98,652,70
378,c1ccc2occc2c1,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(=O)N(C)C,CC(=O)N(C)C,,CC(=O)[O-].CC(=O)[O-].CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O.CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28.O=C([O-])[O-].[K+].[K+].[Pd+2].c1ccc2occc2c1,O=C([O-])[O-].[K+].[K+],,,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,3.2276749533908613,0.98,653,80
379,c1ccc2occc2c1,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(=O)N(C)C,CC(=O)N(C)C,,CC(=O)[O-].CC(=O)[O-].CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O.CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28.O=C([O-])[O-].[K+].[K+].[Pd+2].c1ccc2occc2c1,O=C([O-])[O-].[K+].[K+],,,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,3.2276749533908613,0.98,654,80
380,c1ccc2occc2c1,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(=O)N(C)C,CC(=O)N(C)C,,CC(=O)[O-].CC(=O)[O-].CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O.CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28.O=C([O-])[O-].[K+].[K+].[Pd+2].c1ccc2occc2c1,O=C([O-])[O-].[K+].[K+],,,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,3.2276749533908613,0.98,655,80
381,c1ccc2occc2c1,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(=O)N(C)C,CC(=O)N(C)C,,CC(=O)[O-].CC(=O)[O-].CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O.CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28.O=C([O-])[O-].[K+].[K+].[Pd+2].c1ccc2occc2c1,O=C([O-])[O-].[K+].[K+],,,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,3.2276749533908613,0.98,657,80
382,c1ccc2occc2c1,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(=O)N(C)C,CC(=O)N(C)C,,CC(=O)[O-].CC(=O)[O-].CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O.CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28.O=C([O-])[O-].[K+].[K+].[Pd+2].c1ccc2occc2c1,O=C([O-])[O-].[K+].[K+],,,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,3.7180896169499977,0.99,658,80
383,c1ccc2occc2c1,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(=O)N(C)C,CC(=O)N(C)C,,CC(=O)[O-].CC(=O)[O-].CC(C)(C)OC(=O)N[C@H](C(=O)O)c1ccccc1.CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28.O=C([O-])[O-].[K+].[K+].[Pd+2].c1ccc2occc2c1,O=C([O-])[O-].[K+].[K+],,,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(C)(C)OC(=O)N[C@H](C(=O)O)c1ccccc1,2.441659204246321,0.94,659,80
384,c1ccc2occc2c1,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(=O)N(C)C,CC(=O)N(C)C,,CC(=O)[O-].CC(=O)[O-].CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O.CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28.O=C([O-])[O-].[K+].[K+].[Pd+2].c1ccc2occc2c1,O=C([O-])[O-].[K+].[K+],,,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,3.2276749533908613,0.98,660,80
385,c1ccc2occc2c1,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(=O)N(C)C,CC(=O)N(C)C,,CC(=O)[O-].CC(=O)[O-].CCC[C@H](NC(=O)OC(C)(C)C)C(=O)O.CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28.O=C([O-])[O-].[K+].[K+].[Pd+2].c1ccc2occc2c1,O=C([O-])[O-].[K+].[K+],,,CC(=O)[O-].CC(=O)[O-].[Pd+2],CCC[C@H](NC(=O)OC(C)(C)C)C(=O)O,2.441659204246321,0.94,661,80
386,c1ccc2occc2c1,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(=O)N(C)C,CC(=O)N(C)C,,CC(=O)[O-].CC(=O)[O-].CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)O.CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28.O=C([O-])[O-].[K+].[K+].[Pd+2].c1ccc2occc2c1,O=C([O-])[O-].[K+].[K+],,,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)O,2.7336677407754446,0.96,663,80
387,c1ccc2occc2c1,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(=O)N(C)C,CC(=O)N(C)C,,CC(=O)[O-].CC(=O)[O-].CC[C@H](NC(=O)OC(C)(C)C)C(=O)O.CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28.O=C([O-])[O-].[K+].[K+].[Pd+2].c1ccc2occc2c1,O=C([O-])[O-].[K+].[K+],,,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC[C@H](NC(=O)OC(C)(C)C)C(=O)O,2.32975160815787,0.93,664,80
388,c1ccc2occc2c1,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(=O)N(C)C,CC(=O)N(C)C,,CC(=O)[O-].CC(=O)[O-].CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28.C[C@H](NC(=O)OC(C)(C)C)C(=O)O.O=C([O-])[O-].[K+].[K+].[Pd+2].c1ccc2occc2c1,O=C([O-])[O-].[K+].[K+],,,CC(=O)[O-].CC(=O)[O-].[Pd+2],C[C@H](NC(=O)OC(C)(C)C)C(=O)O,1.9975603115955327,0.89,665,80
389,c1ccc2occc2c1,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(=O)N(C)C,CC(=O)N(C)C,,CC(=O)[O-].CC(=O)[O-].CC[C@H](C)[C@H](NC(C)=O)C(=O)O.CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28.O=C([O-])[O-].[K+].[K+].[Pd+2].c1ccc2occc2c1,O=C([O-])[O-].[K+].[K+],,,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC[C@H](C)[C@H](NC(C)=O)C(=O)O,1.8727466842985665,0.87,667,80
390,c1ccc2occc2c1,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(=O)N(C)C,CC(=O)N(C)C,,CC(=O)[O-].CC(=O)[O-].CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)O.CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28.O=C([O-])[O-].[K+].[K+].[Pd+2].c1ccc2occc2c1,O=C([O-])[O-].[K+].[K+],,,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)O,2.573335745545289,0.95,668,80
391,c1ccc2occc2c1,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(=O)N(C)C,CC(=O)N(C)C,,CC(=O)[O-].CC(=O)[O-].CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O.CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28.O=C([O-])[O-].[Cs+].[Cs+].[Pd+2].c1ccc2occc2c1,O=C([O-])[O-].[Cs+].[Cs+],,,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,2.939314190225472,0.97,670,80
392,c1ccc2occc2c1,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(=O)N(C)C,CC(=O)N(C)C,,CC(=O)[O-].CC(=O)[O-].CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O.CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28.O=C([O-])[O-].[Na+].[Na+].[Pd+2].c1ccc2occc2c1,O=C([O-])[O-].[Na+].[Na+],,,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,1.4685651066098764,0.78,671,80
393,c1ccc2occc2c1,CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(=O)N(C)C,CC(=O)N(C)C,,CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O.CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28.O=C1C=CC(=O)C=C1.[Na+].[Pd+2].c1ccc2occc2c1,CC(=O)[O-].[Na+],O=C1C=CC(=O)C=C1,,CC(=O)[O-].CC(=O)[O-].[Pd+2],CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,0.6809201936588317,0.45,672,80
