,Reactant1,Reactant2,Solvents,Solvent1,Solvent2,Solvent3,Solvent4,Reagents,Reagent1,Reagent2,Reagent3,Reagent4,Reagent5,Yield,ee,ddG
0,C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CN(C)C=O,CN(C)C=O,,,,CC(=O)O[Pd]OC(C)=O.CC(C)(C)OC(=O)N[C@@H](Cc1cc(F)cc(F)c1)C(=O)O.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].[Br-].[K+].[K+],CC(=O)O[Pd]OC(C)=O,CC(C)(C)OC(=O)N[C@@H](Cc1cc(F)cc(F)c1)C(=O)O,O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],,,87,1.76668712
1,C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CN(C)C=O,CN(C)C=O,,,,CC(=O)O[Pd]OC(C)=O.CCCC[N+](CCCC)(CCCC)CCCC.Cc1cccc(C)c1C[C@H](NC(=O)OC(C)(C)C)C(=O)O.O=C([O-])[O-].[Br-].[K+].[K+],CC(=O)O[Pd]OC(C)=O,Cc1cccc(C)c1C[C@H](NC(=O)OC(C)(C)C)C(=O)O,O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],,73,92,2.105885746
2,C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CN(C)C=O,CN(C)C=O,,,,CC(=O)O[Pd]OC(C)=O.CC(C)(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)O.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].[Br-].[K+].[K+],CC(=O)O[Pd]OC(C)=O,CC(C)(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)O,O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],,68,80,1.455955201
3,C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CN(C)C=O,CN(C)C=O,,,,CC(=O)O[Pd]OC(C)=O.CC(C)(C)OC(=O)N[C@@H](CC1CCC1)C(=O)O.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].[Br-].[K+].[K+],CC(=O)O[Pd]OC(C)=O,CC(C)(C)OC(=O)N[C@@H](CC1CCC1)C(=O)O,O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],,70,87,1.766687212
