smiles_pair,index
'C1CCN(CC23C4C5C6C2[Fe]56432789C3C2C7C8C39)CC1,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O',42
'CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC[C@H](C)[C@H](NC(C)=O)C(=O)O',43
'O=C(O)C12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(=O)N[C@H](C(=O)O)C(C)C',44
'O=C(O)C12C3C4C5C1[Fe]45321678C2C1C6C7C28,C[C@H](NC(=O)OC(C)(C)C)C(=O)O',45
'O=C(O)C12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)O',46
'C=CC12C3C4C5C1[Fe]45321678C2C1C6C7(CN(C)C)C28,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O',47
'CC(N(C)C)C12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(C)(C)OC(=O)N[C@H](C(=O)O)c1ccccc1',48
'CC(N(C)C)C12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O',49
'O=C(O)C12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)O',50
'CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7(CN(C)C)C28,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O',51
'COCC12C3C4C5C1[Fe]45321678C2C1C6C7(CN(C)C)C28,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O',52
'CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,CCC[C@H](NC(=O)OC(C)(C)C)C(=O)O',53
'CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,O=C(N[C@@H](Cc1ccc(C2(C(F)(F)F)N=N2)cc1)C(=O)O)OCC1c2ccccc2-c2ccccc21',54
'CCCN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O',55
'CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(C)(C)OC(=O)N[C@H](C(=O)O)c1ccccc1',56
'O=C(O)C12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)O',57
'C1CN(CC23C4C5C6C2[Fe]56432789C3C2C7C8C39)CCO1,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O',58
'CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(=O)N[C@H](Cc1ccccc1)C(=O)O',59
'CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7([Si](C)(C)C)C28,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O',60
'CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O',61
'C1CCN(CC23C4C5C6C2[Fe]56432789C3C2C7C8C39)C1,CC[C@@H](C)[C@@H](NC(=O)OC(C)(C)C)C(=O)O',62
'CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(C)(C)OC(=O)N[C@H](C(=O)O)C(C)(C)C',63
'CN(C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(C)(C)OC(=O)N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)O',64
'CC(N(C)C)C12C3C4C5C1[Fe]45321678C2C1C6C7C28,CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)O',65
