smiles_pair,index
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,C[C@H](NC(=O)OC(C)(C)C)C(=O)O',0
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)CC[C@H](NC(=O)OC(C)(C)C)C(=O)O',1
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)O',2
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,C[C@@H](OCc1ccccc1)[C@H](NC(=O)OC(C)(C)C)C(=O)O',3
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1ccc(C(F)(F)F)cc1)C(=O)O',4
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1ccc(OC(C)(C)C)cc1)C(=O)O',5
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](CC1CC1)C(=O)O',6
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CCOC[C@H](NC(=O)OC(C)(C)C)C(=O)O',7
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)O',8
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC[C@H](NC(=O)OC(C)(C)C)C(=O)O',9
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O',10
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](Cc1cc(F)c(F)c(F)c1)C(=O)O',11
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@H](C(=O)O)C1CCCCC1',12
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@H](C(=O)O)C1CCC1',13
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,Cc1ccc(C[C@H](NC(=O)OC(C)(C)C)C(=O)O)cc1',14
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](CCc1ccccc1)C(=O)O',15
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O',16
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CC(C)(C)OC(=O)N[C@@H](CC1CCCCC1)C(=O)O',17
'CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,O=C(N[C@@H](Cc1ccccc1)C(=O)O)OCc1ccccc1',18
